drive_id,start_yardline,start_time_left,start_posteam_score,start_defteam_score,drive_result,time_elapsed,posteam_score_change,defteam_score_change,next_drive_start_yardline
2016_01_MIN_TEN_16,75,663.0,10.0,22.0,FUMBLE,75.0,0.0,0.0,46.0
2016_01_MIN_TEN_17,46,580.0,22.0,10.0,PUNT,79.0,0.0,0.0,85.0
2016_01_MIN_TEN_18,85,494.0,10.0,22.0,PUNT,52.0,0.0,0.0,57.0
2016_01_MIN_TEN_19,57,429.0,22.0,10.0,FIELD_GOAL,268.0,3.0,0.0,74.0
2016_01_MIN_TEN_20,74,150.0,10.0,25.0,TOUCHDOWN,122.0,6.0,0.0,50.0
2016_01_MIN_TEN_21,50,27.0,25.0,16.0,END_GAME,0.0,0.0,0.0,50.0
2016_01_NE_ARI_1,75,3600.0,0.0,0.0,PUNT,181.0,0.0,0.0,74.0
2016_01_NE_ARI_2,74,3407.0,0.0,0.0,TOUCHDOWN,253.0,7.0,0.0,89.0
2016_01_NE_ARI_3,89,3149.0,0.0,7.0,PUNT,71.0,0.0,0.0,92.0
2016_01_NE_ARI_4,92,3072.0,7.0,0.0,FIELD_GOAL,307.0,3.0,0.0,81.0
2016_01_NE_ARI_5,81,2752.0,0.0,10.0,PUNT,202.0,0.0,0.0,84.0
2016_01_NE_ARI_6,84,2542.0,10.0,0.0,FUMBLE,110.0,0.0,0.0,54.0
2016_01_NE_ARI_7,54,2426.0,0.0,10.0,TOUCHDOWN,380.0,7.0,0.0,74.0
2016_01_NE_ARI_8,74,2040.0,10.0,7.0,PUNT,120.0,0.0,0.0,62.0
2016_01_NE_ARI_9,62,1910.0,7.0,10.0,PUNT,16.0,0.0,0.0,69.0
2016_01_NE_ARI_10,69,1884.0,10.0,7.0,PUNT,62.0,0.0,0.0,68.0
2016_01_NE_ARI_11,68,1815.0,7.0,10.0,END_HALF,0.0,0.0,0.0,75.0
2016_01_NE_ARI_12,75,1800.0,10.0,7.0,TOUCHDOWN,300.0,7.0,0.0,75.0
2016_01_NE_ARI_13,75,1500.0,7.0,17.0,PUNT,172.0,0.0,0.0,72.0
2016_01_NE_ARI_14,72,1321.0,17.0,7.0,FUMBLE,31.0,0.0,0.0,33.0
2016_01_NE_ARI_15,33,1280.0,7.0,17.0,TOUCHDOWN,111.0,7.0,0.0,75.0
2016_01_NE_ARI_16,75,1169.0,17.0,14.0,FIELD_GOAL,409.0,3.0,0.0,79.0
2016_01_NE_ARI_17,79,749.0,14.0,20.0,TOUCHDOWN,163.0,7.0,0.0,75.0
2016_01_NE_ARI_18,75,586.0,20.0,21.0,FIELD_GOAL,358.0,3.0,0.0,92.0
2016_01_NE_ARI_19,92,218.0,21.0,23.0,MISSED_FG,177.0,0.0,0.0,63.0
2016_01_NE_ARI_20,63,36.0,23.0,21.0,END_GAME,0.0,0.0,0.0,63.0
2016_01_NYG_DAL_1,75,3600.0,0.0,0.0,FIELD_GOAL,503.0,3.0,0.0,75.0
2016_01_NYG_DAL_2,75,3095.0,0.0,3.0,PUNT,138.0,0.0,0.0,90.0
2016_01_NYG_DAL_3,90,2947.0,3.0,0.0,FIELD_GOAL,473.0,3.0,0.0,75.0
2016_01_NYG_DAL_4,75,2469.0,0.0,6.0,TOUCHDOWN,93.0,7.0,0.0,75.0
2016_01_NYG_DAL_5,75,2376.0,6.0,7.0,FIELD_GOAL,328.0,3.0,0.0,75.0
2016_01_NYG_DAL_6,75,2042.0,7.0,9.0,TOUCHDOWN,235.0,6.0,0.0,76.0
2016_01_NYG_DAL_8,76,1793.0,13.0,9.0,INTERCEPTION,31.0,0.0,0.0,35.0
2016_01_NYG_DAL_9,35,1754.0,9.0,13.0,TOUCHDOWN,207.0,7.0,0.0,86.0
2016_01_NYG_DAL_10,86,1541.0,13.0,16.0,PUNT,113.0,0.0,0.0,60.0
2016_01_NYG_DAL_11,60,1416.0,16.0,13.0,PUNT,55.0,0.0,0.0,88.0
2016_01_NYG_DAL_12,88,1353.0,13.0,16.0,PUNT,201.0,0.0,0.0,75.0
2016_01_NYG_DAL_13,75,1140.0,16.0,13.0,FIELD_GOAL,296.0,3.0,0.0,75.0
2016_01_NYG_DAL_14,75,839.0,13.0,19.0,PUNT,113.0,0.0,0.0,80.0
2016_01_NYG_DAL_15,80,719.0,19.0,13.0,PUNT,94.0,0.0,0.0,54.0
